,sms,spam,
78,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,FALSE,
79,Where did u go? My phone is gonna die you have to stay in here,FALSE,
80,He like not v shock leh. Cos telling shuhui is like telling leona also. Like dat almost all know liao. He got ask me abt ur reaction lor.,FALSE,
81,No that just means you have a fat head,FALSE,
82,Idk. I'm sitting here in a stop and shop parking lot right now bawling my eyes out because i feel like i'm a failure in everything. Nobody wants me and now i feel like i'm failing you.,FALSE,
83,Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman  Eleven plus two =Twelve plus one Its Amazing... !:-),FALSE,
84,Leave it. U will always be ignorant.,FALSE,
85,"Hello lover! How goes that new job? Are you there now? Are you happy? Do you think of me? I wake, my  and send you a teasing kiss from across the sea",FALSE,
86,Ugh. Gotta drive back to sd from la. My butt is sore.,FALSE,
87,Ya that one is slow as poo,FALSE,
88,Lovely smell on this bus and it ain't tobacco...,FALSE,
89,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i,FALSE,
90,Yeh. Indians was nice. Tho it did  me off a bit he he. We shud go out 4 a drink sometime soon. Mite hav 2 go 2 da works 4 a laugh soon. Love Pete x x,FALSE,
91,"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng",FALSE,
92,I will cme i want to go to hos 2morow. After that i wil cme. This what i got from her dear what to do. She didnt say any time,FALSE,
93,No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:),FALSE,
94,"No, I decided that only people who care about stuff vote and caring about stuff is for losers",FALSE,
95,I send the print  outs da.,FALSE,
96,No I'm in the same boat. Still here at my moms. Check me out on yo. I'm,FALSE,
97,U horrible gal... U knew dat i was going out wif him yest n u still come n ask me...,FALSE,
98,Jus finish blowing my hair. U finish dinner already?,FALSE,
99,Lol wtf random. Btw is that your lunch break,FALSE,
100,"Did he say how fantastic I am by any chance, or anything need a bigger life lift as losing the will 2 live, do you think I would be the first person 2 die from N V Q?",FALSE,
101,"Derp. Which is worse, a dude who always wants to party or a dude who files a complaint about the three drug abusers he lives with",FALSE,
102,PICK UR FONE UP NOW U DUMB?,FALSE,
103,If I die I want u to have all my stuffs.,FALSE,
104,"""SYMPTOMS"" when U are in love: ""1.U like listening songs 2.U get stopped where u see the name of your beloved 3.U won't get angry when your",FALSE,
105,"Don't worry though, I understand how important it is that I be put in my place with a poorly thought out punishment in the face of the worst thing that has ever happened to me. Brb gonna go ",FALSE,
106,Mmmm.... I cant wait to lick it!,FALSE,
107,Doc prescribed me morphine cause the other pain meds aren't enough. Waiting for my mom to bring it. That med should kick in fast so I'm gonna try to be on later,FALSE,
108,"Machan you go to gym tomorrow,  i wil come late goodnight.",FALSE,
109,I don know account details..i will ask my mom and send you.my mom is out of reach now.,FALSE,
110,Dunno lei... I thk mum lazy to go out... I neva ask her yet...,FALSE,
111,No I don't have cancer. Moms making a big deal out of a regular checkup aka pap smear,FALSE,
112,Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..,FALSE,
113,Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...,FALSE,
114,"Goodnight, sleep well da please take care pa. Please.",FALSE,
115,It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a  is attributed to me always coming over and making everyone smoke,FALSE,
116,Are your freezing ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?,FALSE,
117,A guy who gets used but is too dumb to realize it.,FALSE,
118,Did you try making another butt.,FALSE,
119,Guess which pub im in? Im as happy as a pig in clover or whatever the saying is!,FALSE,
120,Lol ok ill try to send. Be warned Sprint is dead slow. You'll prolly get it tomorrow,FALSE,
121,Mum say we wan to go then go... Then she can shun bian watch da glass exhibition...,FALSE,
122,"Come to me, . Your doing it again ... Going into your shell and unconsciously avoiding me ... You are making me unhappy :-(",FALSE,
123,Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!,FALSE,
124,You stayin out of trouble stranger!!saw Dave the other day heÂ’s sorted now!still with me bloke when u gona get a girl MR!ur mum still Thinks we will get 2GETHA!,FALSE,
125,Or ill be a little closer like at the bus stop on the same street,FALSE,
126,....photoshop makes my computer shut down.,FALSE,
127,I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.,FALSE,
128,"Ill call u 2mrw at ninish, with my address that icky American  wont stop callin me 2 bad Jen k eh?",FALSE,
129,Looks like u wil b getting a headstart im leaving here bout 2.30ish but if u r desperate for my company I could head in earlier-we were goin to meet in rummer.,FALSE,
130,DO NOT B LATE LOVE MUM,FALSE,
131,SO IS TH GOWER MATE WHICH IS WHERE I AM!?! HOW R U MAN? ALL IS GOOD IN WALES ILL B BACK Â‘MORROW. C U THIS WK? WHO WAS THE MSG 4? Â– RANDOM!,FALSE,
132,"""HEY BABE! FAR 2 SPUN-OUT 2 SPK AT DA MO... DEAD 2 DA WRLD. BEEN SLEEPING ON DA SOFA ALL DAY, HAD A COOL NYTHO, TX 4 FONIN HON, CALL 2MWEN IM BK FRMCLOUD 9! J X""",FALSE,
133,His frens go then he in lor. Not alone wif my mum n sis lor.,FALSE,
134,Then mum's repent how?,FALSE,
135,Yes watching footie but worried we're going to blow it - Phil Neville?,FALSE,
136,"Chinatown got porridge, claypot rice, yam cake, fishhead beehoon... Either we eat cheap den go cafe n tok or go nydc or somethin...",FALSE,
137,"I just lov this line: ""Hurt me with the truth, I don't mind,i wil tolerat.bcs ur my someone..... But, Never comfort me with a lie"" gud ni8 and sweet dreams",FALSE,
138," said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day!",FALSE,
139,Do u hav any frnd by name ashwini in ur college?,FALSE,
140,Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm,TRUE,
141,okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm,TRUE,
142,That's a shame! Maybe cld meet for few hrs tomo?,FALSE,
143,Die... Now i have e toot fringe again...,FALSE,
144,Me hungry buy some food good lei... But mum n yun dun wan juz buy a little bit...,FALSE,
145,No my mum went 2 dentist.,FALSE,
146,Cause I'm not freaky lol,FALSE,
147,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",FALSE,
148,Lol. Well quality aint bad at all so i aint complaining,FALSE,
149,Both :) i  so get ready!,FALSE,
150,Wow didn't think it was that common. I take it all back ur not a freak! Unless u chop it off:-),FALSE,
151,Are you happy baby ? Are you alright ? Did you take that job ? I hope your fine. I send you a kiss to make you smile from across the sea ... *kiss* *kiss*,FALSE,
152,Tell them u have a headache and just want to use 1 hour of sick time.,FALSE,
153,"Enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly..",FALSE,
154,Should i send you naughty pix? :),FALSE,
155,"Sorry I missed you babe. I was up late and slept in. I hope you enjoy your driving lesson, . I miss you too ... *teasing kiss*",FALSE,
156,HI DARLIN HOW WAS WORK DID U GET INTO TROUBLE? IJUST TALKED TO YOUR MUM ALL MORNING! I HAD A REALLY GOOD TIME LAST NIGHT IM GOIN OUT SOON BUT CALL ME IF U CAN,FALSE,
157,"Hurry up, I've been weed-deficient for like three days",FALSE,
158,"Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)",FALSE,
159,ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.,TRUE,
160,"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?",FALSE,
161,Hey are we going for the lo lesson or gym?,FALSE,
162,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,FALSE,
163,I'm stuck in da middle of da row on da right hand side of da lt...,FALSE,
164,And of course you should make a stink!,FALSE,
165,"Actually nvm, got hella cash, we still on for  &lt;#&gt; ish?",FALSE,
166,"Just got part Nottingham - 3 hrs 63miles. Good thing i love my man so much, but only doing 40mph. Hey ho",FALSE,
167,2mro i am not coming to gym machan. Goodnight.,FALSE,
168,But am going to college pa. What to do. are else ill come there it self. Pa.,FALSE,
169,"Mum, i've sent you many many messages since i got here. I just want to know that you are actually getting them. Do enjoy the rest of your day.",FALSE,
170,Boo I'm on my way to my moms. She's making tortilla soup. Yummmm,FALSE,
171,8007 25p 4 Alfie Moon's Children in Need song on ur mob. Tell ur m8s. Txt TONE CHARITY to 8007 for nokias or POLY CHARITY for polys :zed 08701417012 profit 2 charity,TRUE,
172,5p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,TRUE,
173,25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,TRUE,
174,Why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come smoke,FALSE,
175,The length is e same but e top shorter n i got a fringe now. I thk i'm not going liao. Too lazy. Dun wan 2 distract u also.,FALSE,
176,Those . If it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one,FALSE,
177,Ya i knw u vl giv..its ok thanks kano..anyway enjoy wit ur family wit 1st salary..:-);-),FALSE,
178,"""Life is nothing wen v get everything"". But ""life is everything wen v miss something "". Real value of people wil be realized only in their absence.... gud mrng",FALSE,
179,Today iZ Yellow rose day. If u love my frndship give me 1 misscall &amp; send this to ur frndZ &amp; See how many miss calls u get. If u get 6missed U marry ur Lover.,FALSE,
180,"Well am officially in a philosophical hole, so if u wanna call am at home ready to be saved!",FALSE,
181,Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468,TRUE,
182,"IÂ’m cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! Take care & spk sn x.",FALSE,
183,"TheMob>Hit the link to get a premium Pink Panther game, the new no. 1 from Sugababes, a crazy Zebra animation or a badass Hoody wallpaper-all 4 FREE!",TRUE,
184,Call him and say you not coming today ok and tell them not to fool me like this ok,FALSE,
185,"Edison has rightly said, ""A fool can ask more questions than a wise man can answer"" Now you know why all of us are speechless during ViVa.. GM,GN,GE,GNT:-)",FALSE,
186,"Edison has rightly said, ""A fool can ask more questions than a wise man can answer"" Now you know why all of us are speechless during ViVa.. GM,GN,GE,GNT:-)",FALSE,
187,"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur Â‘rents mayb interested in it, I hav 12,000pes, so around Â£48, tb, James.",FALSE,
188,Gud mrng dear hav a nice day,FALSE,
189,Gud mrng dear hav a nice day,FALSE,
190,Gud mrng dear hav a nice day,FALSE,
191,Thts god's gift for birds as humans hav some natural gift frm god..,FALSE,
192,Lol grr my mom is taking forever with my prescription. Pharmacy is like 2 minutes away. Ugh.,FALSE,
193,Haven't eaten all day. I'm sitting here staring at this juicy pizza and I can't eat it. These meds are ruining my life.,FALSE,
194,I'm very happy for you babe ! Woo hoo party on dude!,FALSE,
195,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,FALSE,
196,Man this bus is so so so slow. I think you're gonna get there before me,FALSE,
197,"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND",FALSE,
198,"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND",FALSE,
199,Great! I  so get ready!,FALSE,
200,K ill drink.pa then what doing. I need srs model pls send it to my mail id pa.,FALSE,
201,BABE !!! I miiiiiiissssssssss you ! I need you !!! I crave you !!! :-( ... Geeee ... I'm so sad without you babe ... I love you ...,FALSE,
202,Hey ! Don't forget ...  ... MMM ... *childish smile* ...,FALSE,
203,Am i that much dirty fellow?,FALSE,
204,Great comedy..cant stop laughing da:),FALSE,
205,Sorry da. I gone mad so many pending works what to do.,FALSE,
206,"Miss ya, need ya, want ya, love ya.",FALSE,
207,"""Hey! do u fancy meetin me at 4 at cha Â– hav a lil beverage on me. if not txt or ring me and we can meet up l8r. quite tired got in at 3 v.pist ;) love Pete x x x""",FALSE,
208,Gain the .dont demand it.i am trying as husband too.Lets see,FALSE,
209,My love ... I hope your not doing anything drastic. Don't you dare sell your pc or your phone ...,FALSE,
210,"OH MR SHEFFIELD! You wanna play THAT game, okay. You're the boss and I'm the nanny. You give me a raise and I'll !!",FALSE,
211,Mom wants to know where you at,FALSE,
212,Yes! I am a one woman man! Please tell me ...,FALSE,
213,Never try alone to take the weight of a tear that comes out of ur heart and falls through ur eyes... Always remember a STUPID FRIEND is here to share... BSLVYL,FALSE,
214,Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing,FALSE,
215,Go chase after her and ,FALSE,
216,Pls she needs to dat slowly or she will vomit more.,FALSE,
217,Horrible bf... I now v hungry...,FALSE,
218,Waiting in e car 4 my mum lor. U leh? Reach home already?,FALSE,
219,Goodnight da thangam I really miss u dear.,FALSE,
220,"Babe! How goes that day ? What are you up to ? I miss you already, my Love ... * loving kiss* ... I hope everything goes well.",FALSE,
221,Lol for real. She told my dad I have cancer,FALSE,
222,U WILL SWITCH YOUR FONE ON DAMMIT!!,FALSE,
223,"And that is the problem. You walk around in ""julianaland"" oblivious to what is going on around you. I say the same things constantly and they go in one ear and out the other while you go off doing whatever you want to do. It's not that you don't know why I'm upset--it's that you don't listen when i tell you WHAT is going to upset me. Then you want to be surprised when I'm mad.",FALSE,
224,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,FALSE,
225,"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins.",TRUE,
226,Dear :-/ why you mood off. I cant drive so i brother to drive,FALSE,
227,Dude just saw a parked car with its sunroof popped up. Sux,FALSE,
228,Oh ho. Is this the first time u use these type of words,FALSE,
229,Oh ho. Is this the first time u use these type of words,FALSE,
230,Oh ho. Is this the first time u use these type of words,FALSE,
231,i see. When we finish we have loads of loans to pay,FALSE,
232,I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA,FALSE,
233,Horrible gal. Me in sch doing some stuff. How come u got mc?,FALSE,
234,"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)",FALSE,
235,"Tick, tick, tick .... Where are you ? I could die of loneliness you know ! *pouts* *stomps feet* I need you ...",FALSE,
236,Mum not going robinson already.,FALSE,
237,Yeah so basically any time next week you can get away from your mom &amp; get up before 3,FALSE,
238,YO YO YO  WHASSUP?,FALSE,
239,I lost 4 pounds since my doc visit last week woot woot! Now I'm gonna celebrate by stuffing my face!,FALSE,
240,Mum ask Ã¼ to buy food home...,FALSE,
241,"I'm there and I can see you, but you can't see me ? Maybe you should reboot ym ? I seen the buzz",FALSE,
242,"Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah...",FALSE,
243,"Dont pack what you can buy at any store.like cereals. If you must pack food, pack gari or something 9ja that you will miss.",FALSE,
244,Ha ha - had popped down to the loo when you hello-ed me. Hello!,FALSE,
245,I'm going out to buy mum's present ar.,FALSE,
246,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",FALSE,
247,Haha... They cant what... At the most tmr forfeit... haha so how?,FALSE,
248,Audrie lousy autocorrect,FALSE,
249,"U so lousy, run already come back then half dead... Hee...",FALSE,
250,Never y lei... I v lazy... Got wat? Dat day Ã¼ send me da url cant work one...,FALSE,
251,No chikku nt yet.. Ya i'm free,FALSE,
252,Is ur changes 2 da report big? Cos i've already made changes 2 da previous report.,FALSE,
253,Not yet had..ya sapna aunty manege y'day hogidhe..chinnu full weak and swalpa black agidhane..,FALSE,
254,hiya hows it going in sunny africa? hope u r avin a good time. give that big old silver back a big kiss from me.,FALSE,
255,"Hmmm ... I thought we said 2 hours , not 3 ... You are late ... How should I punish you ?",FALSE,
256,Just got outta class gonna go gym.,FALSE,
257,Let Ur Heart Be Ur Compass Ur Mind Ur Map Ur Soul Ur Guide And U Will Never loose in world....gnun - Sent via WAY2SMS.COM,FALSE,
258,i want to grasp your pretty  :),FALSE,
259,Do Ã¼ all wan 2 meet up n combine all the parts? How's da rest of da project going?,FALSE,
260,I am  I live local to you - text a reply to hear strt back from me 150p per msg Netcollex LtdHelpDesk: 02085076972 reply Stop to end,TRUE,
261,Draw va?i dont think so:),FALSE,
262,Stop calling everyone saying I might have cancer. My throat hurts to talk. I can't be answering everyones calls. If I get one more call I'm not babysitting on Monday,FALSE,
263,CALL 09090900040 & LISTEN TO EXTREME  LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL PRIVACY NO ONE KNOWS YOUR [sic] LISTENING 60P MIN 24/7MP 0870753331018+,TRUE,
264,Ok I'm gonna head up to usf in like fifteen minutes,FALSE,
265,Unlimited texts. Limited minutes.,FALSE,
266,"Just gettin a bit arty with my collages at the mo, well tryin 2 ne way! Got a roast in a min lovely i shall enjoy that!",FALSE,
267,Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:,FALSE,
268,Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:,FALSE,
269,Boo. How's things? I'm back at home and a little bored already :-(,FALSE,
270,"Hello, my love! How goes that day ? I wish your well and fine babe and hope that you find some job prospects. I miss you, ... *a teasing kiss*",FALSE,
271,Hi mate its RV did u hav a nice hol just a message 3 say hello coz havenÂ’t sent u 1 in ages started driving so stay off roads!RVx,FALSE,
272,Eat at old airport road... But now 630 oredi... Got a lot of pple...,FALSE,
273,Guai... Ãœ shd haf seen him when he's naughty... Ãœ so free today? Can go jogging...,FALSE,
274,So li hai... Me bored now da lecturer repeating last weeks stuff waste time...,FALSE,
275,In sch but neva mind u eat 1st lor..,FALSE,
276,"Two fundamentals of cool life: ""Walk, like you are the KING""...! OR ""Walk like you Dont care,whoever is the KING""!... Gud nyt",FALSE,
277,Today my system sh get ready.all is well and i am also in the deep well,FALSE,
278,"Dear,regret i cudnt pick call.drove down frm ctla now at cochin home.left mobile in car..ente style ishtamayoo?happy bakrid!",FALSE,
279,Just come home. I don't want u to be miserable,FALSE,
280,Babe ? I lost you ... :-(,FALSE,
281,"Gosh that , what a pain. Spose I better come then.",FALSE,
